公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京粉笔未来科技有限公司,猿辅导,500-2000人,D轮及以上,朝阳区,python助教实习生,1年以下,本科,4k-6k,"一带一帮带,独角兽行业"
北京诸葛找房信息技术有限公司,诸葛找房网,150-500人,B轮,朝阳区,Python架构师,5-10年,本科,30k-50k,"六险一金,住房补贴,节日福利,一日三餐"
青岛一只猫科技有限公司,一只猫科技,15-50人,未融资,朝阳区,python爬虫,5-10年,本科,15k-16k,"工作时间自由
高额的回报
股份分成"
北京市海淀区八维计算机培训学校,北京八维研修学院,2000人以上,未融资,海淀区,Python项目经理,3-5年,大专,20k-30k,五险一金，寒假，房补，饭补，节日福利
合一信息技术（北京）有限公司,合一信息技术（优酷）,500-2000人,上市公司,朝阳区,高级Python后端工程师,3-5年,本科,25k-50k,"大牛多,成长快,专属福利"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,运维开发工程师（监控系统，go/python）,3-5年,本科,18k-35k,"行业前三,年终奖,不打卡,免费三餐"
深圳前海川谷信息技术有限公司,川谷金融科技,15-50人,天使轮,朝阳区,python算法工程师,1-3年,本科,10k-20k,五险一金 优秀团队 带薪年假
北京希子教育科技有限公司,希子教育,50-150人,A轮,海淀区,高级Python后端工程师,1-3年,本科,20k-30k,"氛围愉快,竞争力薪酬,弹性工作,快速成长"
恒爱高科（北京）科技有限公司,恒爱高科,15-50人,天使轮,海淀区,Python 后台工程师,1年以下,本科,5k-10k,"潜力大,钱多,技术先进,有实力"
北京聪明核桃教育科技有限公司,聪明核桃教育,50-150人,A轮,海淀区,少儿编程python课程设计师,不限,不限,15k-30k,氛围好，福利好，弹性工作，无加班文化
